Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
lblSpawn,UI,Spawn Menu,,,Open Your Eyes,,Öffne deine Augen,Abre tus ojos,Ouvre les yeux,Apri gli occhi,目を開けて,눈을 뜨세요,Otwórz oczy,Abra seus olhos,Открой глаза,Gözlerini aç,睁开眼睛,睜開你的眼睛
msgBuildingEnvironment,UI,Menu,x,,You're awake,,Du bist wach,Estás despierto,Tu es éveillé,Sei sveglio,目覚めたね,당신은 깨어있다,Już nie śpisz,Você está acordado,Ты проснулся,Uyanıksın,你醒了,你醒了
loadActionBlocks,UI,Load Actions,x,,.,,.,.,.,.,.,.,.,.,.,.,.,.
loadActionBlockTextures,UI,Load Actions,x,,.,,.,.,.,.,.,.,.,.,.,.,.,.
loadActionCharacterModels,UI,Load Actions,x,,.,,.,.,.,.,.,.,.,.,.,.,.,.
loadActionDone,UI,Load Actions,x,,.,,.,.,.,.,.,.,.,.,.,.,.,.
loadActionItems,UI,Load Actions,x,,.,,.,.,.,.,.,.,.,.,.,.,.,.
loadActionLoading,UI,Load Actions,x,,"In a world gone silent, only the strong endure",,"In einer Welt, in der es still ist, überleben nur die Starken","En un mundo en silencio, sólo los fuertes perduran","Dans un monde devenu silencieux, seuls les forts perdurent","In un mondo diventato silenzioso, solo i forti resistono",沈黙した世界では、強い者だけが耐える,침묵이 깃든 세상에서는 강한 자만이 살아남는다,"W świecie, w którym zapadła cisza, przetrwają tylko najsilniejsi","Em um mundo em silêncio, apenas os fortes perduram","В мире, где все затихло, выживают только сильные.","Sessizliğe gömülmüş bir dünyada, yalnızca güçlüler dayanır",在一个沉默的世界里，只有强者才能生存,寂靜的世界，只有強者才能堅持下去
loadActionMaterials,UI,Load Actions,x,,.,,.,.,.,.,.,.,.,.,.,.,.,.
loadActionParticles,UI,Load Actions,x,,.,,.,.,.,.,.,.,.,.,.,.,.,.
loadActionTerrainTextures,UI,Load Actions,x,,.,,.,.,.,.,.,.,.,.,.,.,.,.
